,bowler_name,date,inning,opposition,runs_conceded,wickets_taken,balls_bowled,num_dots,team,year,economy_rate
82,Abu Hider,2016-01-20 00:00:00,1,Zimbabwe,40.0,2.0,24,11,Bangladesh,14-16,10.0
83,Abu Hider,2016-01-22 00:00:00,1,Zimbabwe,30.0,1.0,27,11,Bangladesh,14-16,6.66666666667
84,Abu Hider,2016-03-06 00:00:00,2,India,14.0,0.0,6,1,Bangladesh,14-16,14.0
85,Abul Hasan,2012-07-18,2,Ireland,27.0,0.0,18,8,Bangladesh,11-13,9.0
86,Abul Hasan,2012-07-20,2,Ireland,15.0,0.0,13,4,Bangladesh,11-13,6.92307692308
87,Abul Hasan,2012-07-24,1,Scotland,31.0,0.0,19,5,Bangladesh,11-13,9.78947368421
88,Abul Hasan,2012-09-25,2,Pakistan,33.0,2.0,18,7,Bangladesh,11-13,11.0
89,Abzal Dean,2008-10-12,1,Sri Lanka,18.0,1.0,12,4,Canada,08-10,9.0
90,Abzal Dean,2013-11-26,1,Kenya,14.0,0.0,12,6,Canada,11-13,7.0
91,Adam Milne,2010-12-26,1,Pakistan,46.0,0.0,24,9,New Zealand,08-10,11.5
92,Adam Milne,2010-12-30,1,Pakistan,45.0,1.0,26,13,New Zealand,08-10,10.3846153846
93,Adam Milne,2012-09-11,2,India,36.0,0.0,18,3,New Zealand,11-13,12.0
94,Adam Milne,2012-09-23,1,Pakistan,12.0,0.0,6,0,New Zealand,11-13,12.0
95,Adam Milne,2014-01-11,2,West Indies,15.0,1.0,24,13,New Zealand,14-16,3.75
96,Adam Milne,2014-01-15,1,West Indies,22.0,1.0,24,13,New Zealand,14-16,5.5
97,Adam Milne,2014-12-04,2,Pakistan,18.0,1.0,24,13,New Zealand,14-16,4.5
98,Adam Milne,2015-08-09,2,Zimbabwe,10.0,2.0,24,19,New Zealand,14-16,2.5
99,Adam Milne,2015-08-14,2,South Africa,22.0,1.0,24,13,New Zealand,14-16,5.5
100,Adam Milne,2015-08-16,2,South Africa,25.0,1.0,26,14,New Zealand,14-16,5.76923076923
101,Adam Milne,2016-01-10 00:00:00,1,Sri Lanka,36.0,2.0,24,8,New Zealand,14-16,9.0
102,Adam Milne,2016-01-15 00:00:00,1,Pakistan,37.0,3.0,24,8,New Zealand,14-16,9.25
103,Adam Milne,2016-01-17 00:00:00,1,Pakistan,36.0,2.0,25,9,New Zealand,14-16,8.64
104,Adam Milne,2016-01-22 00:00:00,2,Pakistan,8.0,3.0,19,15,New Zealand,14-16,2.52631578947
105,Adam Voges,2008-02-01,1,India,5.0,2.0,12,7,Australia,08-10,2.5
106,Adam Zampa,2016-03-04 00:00:00,2,South Africa,23.0,0.0,25,9,Australia,14-16,5.52
107,Adil Mehmood,2016-02-22 00:00:00,1,Afghanistan,12.0,0.0,6,1,Hong Kong,14-16,12.0
108,Adil Rashid,2009-06-05,2,Netherlands,36.0,1.0,24,8,England,08-10,9.0
109,Adil Rashid,2009-06-07,2,Pakistan,24.0,0.0,24,9,England,08-10,6.0
110,Adil Rashid,2009-06-11,2,South Africa,24.0,1.0,24,8,England,08-10,6.0
111,Adil Rashid,2009-06-15,2,West Indies,11.0,1.0,6,1,England,08-10,11.0
112,Adil Rashid,2009-11-15,1,South Africa,25.0,0.0,6,1,England,08-10,25.0
113,Adil Rashid,2015-06-23,2,New Zealand,33.0,1.0,24,5,England,14-16,8.25
114,Adil Rashid,2015-08-31,2,Australia,32.0,0.0,18,2,England,14-16,10.6666666667
115,Adil Rashid,2015-11-27,2,Pakistan,18.0,2.0,24,12,England,14-16,4.5
116,Adil Rashid,2015-11-30,2,Pakistan,29.0,1.0,24,9,England,14-16,7.25
117,Adil Rashid,2016-02-19 00:00:00,2,South Africa,24.0,1.0,24,9,England,14-16,6.0
118,Adil Rashid,2016-02-21 00:00:00,2,South Africa,30.0,1.0,24,9,England,14-16,7.5
119,Aftab Ahmed,2010-02-03,2,New Zealand,8.0,0.0,2,0,Bangladesh,08-10,24.0
120,Aftab Alam,2012-03-24,2,Ireland,32.0,2.0,24,10,Afghanistan,11-13,8.0
121,Aftab Alam,2013-03-03,2,Scotland,23.0,1.0,25,11,Afghanistan,11-13,5.52
122,Aftab Alam,2013-03-04,1,Scotland,25.0,0.0,19,8,Afghanistan,11-13,7.89473684211
123,Aftab Alam,2014-03-16,2,Bangladesh,15.0,0.0,6,0,Afghanistan,14-16,15.0
124,Aftab Alam,2015-07-25,1,Oman,22.0,3.0,25,8,Afghanistan,14-16,5.28
125,Aftab Alam,2015-11-28,2,Hong Kong,43.0,2.0,25,6,Afghanistan,14-16,10.32
126,Ahmed Raza,2014-03-19,2,Ireland,16.0,0.0,8,1,United Arab Emirates,14-16,12.0
127,Ahmed Raza,2014-03-21,2,Zimbabwe,29.0,1.0,18,5,United Arab Emirates,14-16,9.66666666667
128,Ahmed Raza,2015-07-10,2,Afghanistan,31.0,0.0,24,6,United Arab Emirates,14-16,7.75
129,Ahmed Raza,2015-11-22,1,Oman,21.0,1.0,24,10,United Arab Emirates,14-16,5.25
130,Ahmed Raza,2016-02-03 00:00:00,1,Netherlands,32.0,0.0,18,4,United Arab Emirates,14-16,10.6666666667
131,Ahmed Raza,2016-02-16 00:00:00,2,Ireland,19.0,2.0,24,12,United Arab Emirates,14-16,4.75
132,Ahmed Raza,2016-02-19 00:00:00,2,Afghanistan,30.0,1.0,25,7,United Arab Emirates,14-16,7.2
133,Ahmed Raza,2016-02-21 00:00:00,1,Hong Kong,28.0,1.0,18,9,United Arab Emirates,14-16,9.33333333333
134,Ahmed Raza,2016-02-22 00:00:00,2,Oman,5.0,1.0,19,14,United Arab Emirates,14-16,1.57894736842
135,Ahmed Raza,2016-02-25 00:00:00,1,Sri Lanka,13.0,0.0,25,13,United Arab Emirates,14-16,3.12
136,Ahmed Raza,2016-02-26 00:00:00,1,Bangladesh,17.0,0.0,24,10,United Arab Emirates,14-16,4.25
137,Ahmed Raza,2016-02-29 00:00:00,2,Pakistan,20.0,0.0,18,6,United Arab Emirates,14-16,6.66666666667
138,Ahmed Shehzad,2015-11-27,1,England,10.0,0.0,6,0,Pakistan,14-16,10.0
139,Ahsan Malik,2012-03-13,2,Canada,13.0,2.0,17,8,Netherlands,11-13,4.58823529412
140,Ahsan Malik,2012-03-14,2,Afghanistan,32.0,2.0,22,8,Netherlands,11-13,8.72727272727
141,Ahsan Malik,2012-07-25,2,Bangladesh,27.0,1.0,18,5,Netherlands,11-13,9.0
142,Ahsan Malik,2012-07-26,1,Bangladesh,32.0,1.0,24,8,Netherlands,11-13,8.0
143,Ahsan Malik,2013-04-19,2,Kenya,44.0,2.0,24,6,Netherlands,11-13,11.0
144,Ahsan Malik,2013-11-22,1,Scotland,40.0,1.0,25,7,Netherlands,11-13,9.6
145,Ahsan Malik,2013-11-23,2,Kenya,15.0,1.0,18,7,Netherlands,11-13,5.0
