batsman_name,runs_batter,balls,wicket,average,strike_rate
Muktar Ali,19.0,15,0.0,inf,126.666666667
Munir Dar,36.0,27,1.0,36.0,133.333333333
Munis Ansari,2.0,6,0.0,inf,33.3333333333
Murali Vijay,121.0,130,6.0,20.1666666667,93.0769230769
Mushfiqur Rahim,424.0,362,20.0,21.2,117.127071823
Mustafizur Rahman,1.0,8,2.0,0.5,12.5
Muttiah Muralitharan,1.0,4,1.0,1.0,25.0
Nadeem Ahmed,11.0,26,4.0,2.75,42.3076923077
Nadif Chowdhury,5.0,6,0.0,inf,83.3333333333
Naeem Islam,91.0,80,7.0,13.0,113.75
Najeeb Amar,2.0,9,1.0,2.0,22.2222222222
Najeeb Tarakai,7.0,6,1.0,7.0,116.666666667
Najibullah Zadran,155.0,119,6.0,25.8333333333,130.25210084
Naman Ojha,12.0,28,2.0,6.0,42.8571428571
Narsingh Deonarine,3.0,4,2.0,1.5,75.0
Nasir Hossain,207.0,178,11.0,18.8181818182,116.292134831
Nasir Jamshed,146.0,147,9.0,16.2222222222,99.3197278912
Nathan Astle,55.0,55,3.0,18.3333333333,100.0
Nathan Bracken,3.0,4,1.0,3.0,75.0
Nathan Coulter-Nile,29.0,22,3.0,9.66666666667,131.818181818
Nathan McCullum,143.0,147,17.0,8.41176470588,97.2789115646
Natsai M'shangwe,0.0,1,1.0,0.0,0.0
Nauman Anwar,18.0,10,1.0,18.0,180.0
