,bowler_name,year,runs_conceded,balls_bowled,wickets_taken,num_dots,num_spells,team,average,wickets_per_spell,strike_rate,economy_rate,prop_dot
873,Shane Watson,08-10,289.0,215,13.0,75,13,Australia,22.2307692308,1.0,16.5384615385,8.06511627907,34.8837209302
874,Shane Watson,11-13,454.0,414,26.0,170,18,Australia,17.4615384615,1.44444444444,15.9230769231,6.57971014493,41.0628019324
875,Shane Watson,14-16,237.0,193,7.0,83,11,Australia,33.8571428571,0.636363636364,27.5714285714,7.36787564767,43.0051813472
876,Shannon Gabriel,11-13,48.0,48,3.0,27,2,West Indies,16.0,1.5,16.0,6.0,56.25
877,Shapoor Zadran,08-10,150.0,135,5.0,70,8,Afghanistan,30.0,0.625,27.0,6.66666666667,51.8518518519
878,Shapoor Zadran,11-13,189.0,160,10.0,84,8,Afghanistan,18.9,1.25,16.0,7.0875,52.5
879,Shapoor Zadran,14-16,155.0,159,10.0,84,8,Afghanistan,15.5,1.25,15.9,5.84905660377,52.8301886792
880,Sharafuddin Ashraf,14-16,116.0,87,3.0,29,4,Afghanistan,38.6666666667,0.75,29.0,8.0,33.3333333333
881,Sharif Asadullah,14-16,20.0,19,2.0,9,1,United Arab Emirates,10.0,2.0,9.5,6.31578947368,47.3684210526
882,Shaun Pollock,05-07,280.0,230,13.0,109,10,South Africa,21.5384615385,1.3,17.6923076923,7.30434782609,47.3913043478
883,Shaun Pollock,08-10,19.0,24,1.0,15,1,South Africa,19.0,1.0,24.0,4.75,62.5
884,Shaun Tait,05-07,21.0,25,2.0,16,1,Australia,10.5,2.0,12.5,5.04,64.0
885,Shaun Tait,08-10,353.0,396,27.0,229,16,Australia,13.0740740741,1.6875,14.6666666667,5.34848484848,57.8282828283
