batsman_name,runs_batter,balls,wicket,strike_rate,average
Roelof van der Merwe,35.0,41,1.0,85.3658536585,35.0
Rohan Mustafa,57.0,52,3.0,109.615384615,19.0
Rohit Sharma,328.0,268,8.0,122.388059701,41.0
Ronnie Hira,4.0,11,0.0,36.3636363636,inf
Rory Kleinveldt,3.0,3,0.0,100.0,inf
Ross Lyons,4.0,15,1.0,26.6666666667,4.0
Ross Taylor,345.0,327,15.0,105.504587156,23.0
Rubel Hossain,0.0,3,1.0,0.0,0.0
Runako Morton,16.0,24,2.0,66.6666666667,8.0
Russel Arnold,7.0,8,0.0,87.5,inf
Rustam Bhatti,1.0,2,0.0,50.0,inf
Ruvindu Gunasekera,10.0,11,1.0,90.9090909091,10.0
Ryan Watson,10.0,9,1.0,111.111111111,10.0
Ryan ten Doeschate,29.0,34,2.0,85.2941176471,14.5
S Badrinath,24.0,26,0.0,92.3076923077,inf
Saad Nasim,21.0,23,0.0,91.3043478261,inf
Sabbir Rahman,97.0,100,3.0,97.0,32.3333333333
Sachithra Senanayake,8.0,16,0.0,50.0,inf
Sagar Pun,0.0,2,2.0,0.0,0.0
Salman Butt,142.0,119,7.0,119.327731092,20.2857142857
Sam Billings,33.0,23,1.0,143.47826087,33.0
Samit Patel,26.0,33,1.0,78.7878787879,26.0
Samiullah Shenwari,174.0,153,4.0,113.725490196,43.5
Sanath Jayasuriya,140.0,104,9.0,134.615384615,15.5555555556
Sanjayan Thuraisingam,15.0,18,0.0,83.3333333333,inf
Saqlain Haider,7.0,8,0.0,87.5,inf
Sarfraz Ahmed,55.0,46,0.0,119.565217391,inf
Scott Styris,235.0,209,7.0,112.440191388,33.5714285714
Sean Williams,137.0,114,6.0,120.175438596,22.8333333333
Seekkuge Prasanna,26.0,18,3.0,144.444444444,8.66666666667
Sese Bau,41.0,32,2.0,128.125,20.5
Shabir Noori,3.0,6,1.0,50.0,3.0
Shadeep Silva,2.0,4,0.0,50.0,inf
Shafiqullah,27.0,25,3.0,108.0,9.0
