batsman_name,runs_batter,balls,wicket,strike_rate,average
Nathan Astle,13.0,8,1.0,162.5,13.0
Nathan Bracken,12.0,18,2.0,66.6666666667,6.0
Nathan Coulter-Nile,21.0,20,1.0,105.0,21.0
Nathan Hauritz,4.0,3,1.0,133.333333333,4.0
Nathan McCullum,121.0,111,10.0,109.009009009,12.1
Natsai M'shangwe,5.0,3,0.0,166.666666667,inf
Navdeep Poonia,9.0,10,0.0,90.0,inf
Naved-ul-Hasan,17.0,7,0.0,242.857142857,inf
Nawroz Mangal,7.0,10,1.0,70.0,7.0
Nazmul Hossain,3.0,15,1.0,20.0,3.0
Nehemiah Odhiambo,23.0,29,4.0,79.3103448276,5.75
Neil Broom,5.0,5,0.0,100.0,inf
Neil McCallum,1.0,5,1.0,20.0,1.0
Neil McKenzie,7.0,8,0.0,87.5,inf
Nelson Odhiambo,6.0,5,0.0,120.0,inf
Neville Madziva,12.0,10,1.0,120.0,12.0
Nigel Jones,14.0,15,2.0,93.3333333333,7.0
Nikita Miller,10.0,13,0.0,76.9230769231,inf
Nizakat Khan,14.0,10,2.0,140.0,7.0
Nkrumah Bonner,0.0,1,1.0,0.0,0.0
Noor Ali Zadran,20.0,15,1.0,133.333333333,20.0
Norman Vanua,23.0,12,1.0,191.666666667,23.0
Nosaina Pokana,8.0,14,0.0,57.1428571429,inf
Nurul Hasan,2.0,6,2.0,33.3333333333,1.0
Nuwan Kulasekara,106.0,86,8.0,123.255813953,13.25
Owais Shah,58.0,35,4.0,165.714285714,14.5
Paras Khadka,20.0,20,2.0,100.0,10.0
Parth Desai,4.0,7,0.0,57.1428571429,inf
Pat Cummins,2.0,5,1.0,40.0,2.0
Paul Collingwood,115.0,66,9.0,174.242424242,12.7777777778
Paul van Meekeren,3.0,7,1.0,42.8571428571,3.0
Peter Borren,91.0,65,6.0,140.0,15.1666666667
Peter Connell,3.0,4,0.0,75.0,inf
Peter McGlashan,37.0,28,4.0,132.142857143,9.25
Peter Moor,17.0,6,0.0,283.333333333,inf
Peter Ongondo,24.0,15,3.0,160.0,8.0
Peter Siddle,1.0,1,0.0,100.0,inf
Pieter Seelaar,28.0,31,4.0,90.3225806452,7.0
Pipi Raho,8.0,5,0.0,160.0,inf
Piyush Chawla,0.0,1,0.0,0.0,
Pradeep Airee,0.0,1,1.0,0.0,0.0
Praveen Kumar,1.0,6,2.0,16.6666666667,0.5
Preston Mommsen,37.0,33,3.0,112.121212121,12.3333333333
Prosper Utseya,14.0,31,6.0,45.1612903226,2.33333333333
Qadeer Ahmed,0.0,1,0.0,0.0,
Raees Ahmadzai,46.0,39,0.0,117.948717949,inf
Ragheb Aga,103.0,68,6.0,151.470588235,17.1666666667
Rajesh Bhudia,10.0,10,2.0,100.0,5.0
Rajesh Pulami,14.0,7,2.0,200.0,7.0
Rajeshkumar Ranpura,5.0,8,0.0,62.5,inf
Rakep Patel,55.0,43,3.0,127.906976744,18.3333333333
Rameez Raja,5.0,7,1.0,71.4285714286,5.0
Ramnaresh Sarwan,17.0,16,2.0,106.25,8.5
Rangana Herath,2.0,2,0.0,100.0,inf
Raqibul Hasan,13.0,9,2.0,144.444444444,6.5
Rashid Khan,14.0,5,0.0,280.0,inf
Ravi Bopara,73.0,58,4.0,125.862068966,18.25
Ravi Rampaul,9.0,12,1.0,75.0,9.0
Ravichandran Ashwin,57.0,52,5.0,109.615384615,11.4
Ravindra Jadeja,22.0,16,3.0,137.5,7.33333333333
Ray Price,10.0,14,3.0,71.4285714286,3.33333333333
Raza Hasan,13.0,13,0.0,100.0,inf
Reece Topley,1.0,2,0.0,50.0,inf
Reeza Hendricks,0.0,1,1.0,0.0,0.0
Regis Chakabva,1.0,9,2.0,11.1111111111,0.5
Richie Berrington,53.0,35,4.0,151.428571429,13.25
Richmond Mutumbami,10.0,11,0.0,90.9090909091,inf
Ricky Ponting,55.0,28,1.0,196.428571429,55.0
Rilee Rossouw,67.0,38,1.0,176.315789474,67.0
Rob Key,10.0,9,0.0,111.111111111,inf
Rob Nicol,3.0,4,2.0,75.0,1.5
Rob Taylor,55.0,31,1.0,177.419354839,55.0
Robin Peterson,64.0,56,4.0,114.285714286,16.0
Robin Uthappa,20.0,17,1.0,117.647058824,20.0
Rodney Trott,6.0,14,2.0,42.8571428571,3.0
